playlist,track_id,year
Replay 2020,1522,2020
Replay 2020,3451,2020
Replay 2020,3351,2020
Replay 2020,3773,2020
Replay 2020,3349,2020
Replay 2020,3121,2020
Replay 2020,3711,2020
Replay 2020,1534,2020
Replay 2020,1878,2020
Replay 2020,1868,2020
Replay 2020,2963,2020
Replay 2020,3995,2020
Replay 2020,3745,2020
Replay 2020,2158,2020
Replay 2020,1364,2020
Replay 2020,2178,2020
Replay 2020,1334,2020
Replay 2020,1824,2020
Replay 2020,3127,2020
Replay 2020,4977,2020
Replay 2020,2343,2020
Replay 2020,5063,2020
Replay 2020,1764,2020
Replay 2020,4177,2020
Replay 2020,2309,2020
Replay 2020,1686,2020
Replay 2020,1692,2020
Replay 2020,1834,2020
Replay 2020,1384,2020
Replay 2020,3345,2020
Replay 2020,2297,2020
Replay 2020,3437,2020
Replay 2021,1670,2021
Replay 2021,1634,2021
Replay 2021,1788,2021
Replay 2021,1744,2021
Replay 2021,1800,2021
Replay 2021,1614,2021
Replay 2021,1776,2021
Replay 2021,1680,2021
Replay 2021,1780,2021
Replay 2021,1792,2021
Replay 2021,1816,2021
Replay 2021,1756,2021
Replay 2021,1884,2021
Replay 2021,1882,2021
Replay 2021,1602,2021
Replay 2021,10731,2021
Replay 2021,1844,2021
Replay 2021,1632,2021
Replay 2021,1592,2021
Replay 2021,1814,2021
Replay 2021,3121,2021
Replay 2021,3773,2021
Replay 2021,4973,2021
Replay 2021,3119,2021
Replay 2021,5063,2021
Replay 2021,2981,2021
Replay 2021,1534,2021
Replay 2021,3763,2021
Replay 2021,3769,2021
Replay 2021,3091,2021
Replay 2021,1758,2021
Replay 2021,10729,2021
Replay 2021,3439,2021
Replay 2021,1484,2021
Replay 2021,3775,2021
Replay 2021,3745,2021
Replay 2021,1346,2021
Replay 2021,1492,2021
Replay 2021,1434,2021
Replay 2021,3997,2021
Replay 2021,10723,2021
Replay 2021,2957,2021
Replay 2021,3989,2021
Replay 2021,2158,2021
Replay 2021,5019,2021
Replay 2021,3441,2021
Replay 2021,2787,2021
Replay 2021,1522,2021
Replay 2021,1790,2021
Replay 2021,1684,2021
